 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list5:5003410661
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list6:5003410651
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list7:5003410658
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list8:5003410671
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list9:5003410670
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list10:5003410676
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list11:5003410748
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list12:5003410673
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list13:5003410665
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list14:5003410664
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list15:5003410662
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list16:5003410672
 INFO 2022-11-25 11:23:45,107 ht.task.AutoUrgentMaterialCheckNotOCR: list17:5003410675
 INFO 2022-11-25 11:23:45,108 ht.task.AutoUrgentMaterialCheckNotOCR: end...
